Concrete_Strength(MPa) Transversel_y_(MPa) Longitudinal_C_y_(MPa) Longitudinal_I_y_(MPa) Width_(mm) Depth_(mm) Length_Inflection_(mm) Length_Measured_(mm) Axial_Load_(kN) Longitudinal_reinforcement_Ratio Transverse_reinforcement_Ratio Span-to-depth_Ratio Axial_Load_Ratio Failure_Type
80	430	430	430	250	250	1140	1140	1500	0.0151	0.037	4.56	0.3	Flexure
80	430	430	430	250	250	1140	1140	1000	0.0603	0.012	4.56	0.3	Flexure
80	430	430	430	250	250	1140	1140	1500	0.0603	0.012	4.56	0.3	Flexure
80	430	430	430	250	250	1140	1140	1500	0.0603	0.012	4.56	0.3	Flexure
80	430	430	430	250	250	1140	1140	1000	0.0603	0.012	4.56	0.2	Flexure
80	430	430	430	250	250	1140	1140	1000	0.0603	0.018	4.56	0.2	Flexure
80	430	430	430	250	250	1140	1140	1000	0.0603	0.018	4.56	0.2	Flexure
80	430	430	430	250	250	1140	1140	1500	0.0603	0.018	4.56	0.3	Flexure
80	430	430	430	250	250	1140	1140	1500	0.0603	0.018	4.56	0.3	Flexure
80	430	430	430	250	250	1140	1140	1000	0.0603	0.037	4.56	0.2	Flexure
80	430	430	430	250	250	1140	1140	1000	0.0603	0.037	4.56	0.2	Flexure
80	430	430	430	250	250	1140	1140	1500	0.0603	0.037	4.56	0.3	Flexure
80	430	430	430	250	250	1140	1140	1500	0.0603	0.037	4.56	0.3	Flexure
27.2	428	448	448	380	610	2335	2335	615	0.0222	0.004	3.83	0.098	Flexure
27.2	428	448	448	380	610	2335	2335	1505	0.0222	0.004	3.83	0.239	Flexure
28.1	428	448	448	380	610	2335	2335	601	0.0222	0.005	3.83	0.092	Flexure
28.1	428	448	448	380	610	2335	2335	1514	0.0222	0.005	3.83	0.232	Flexure
26.9	399.9	331	331	457.2	457.2	1473.2	1473.2	503	0.0303	0	3.22	0.089	Flexure
33.1	399.9	331	331	457.2	457.2	1473.2	1473.2	503	0.0194	0	3.22	0.073	Flexure-Shear
25.5	399.9	331	331	457.2	457.2	1473.2	1473.2	1512	0.0194	0	3.22	0.284	Flexure-Shear
27.6	399.9	331	331	457.2	457.2	1473.2	1473.2	1512	0.0303	0	3.22	0.262	Shear
27.6	399.9	331	331	457.2	457.2	1473.2	1473.2	1512	0.0303	0	3.22	0.262	Shear
26.9	399.9	331	331	457.2	457.2	1473.2	1473.2	503	0.0303	0	3.22	0.089	Shear
33.1	399.9	331	331	457.2	457.2	1473.2	1473.2	503	0.0194	0	3.22	0.073	Flexure-Shear
25.5	399.9	331	331	457.2	457.2	1473.2	1473.2	1512	0.0303	0	3.22	0.284	Flexure-Shear
76	510	510	510	254	254	508	508	489	0.0355	0.037	2	0.1	Flexure
76	510	510	510	254	254	508	508	979	0.0355	0.037	2	0.2	Flexure
86	510	510	510	254	254	508	508	534	0.0246	0.037	2	0.096	Flexure
86	510	510	510	254	254	508	508	1068	0.0246	0.037	2	0.192	Flexure
86	449	510	510	254	254	508	508	534	0.0246	0.016	2	0.096	Flexure-Shear
86	449	510	510	254	254	508	508	1068	0.0246	0.016	2	0.192	Flexure-Shear
118	1415	393	393	225	225	450	450	3579	0.0186	0	2	0.599	Flexure
118	1424	393	393	225	225	450	450	3579	0.0186	0	2	0.599	Flexure
118	1424	393	393	225	225	450	450	3579	0.0186	0	2	0.599	Flexure
118	1424	393	393	225	225	450	450	2089	0.0186	0	2	0.35	Flexure
118	1424	393	393	225	225	450	450	2089	0.0186	0	2	0.35	Flexure
40.6	351	407	407	279.4	279.4	2134	2134	1076	0.0101	0	7.64	0.339	Flexure
72.1	463	454	454	305	305	1842	1473	3354	0.0258	0.032	6.04	0.5	Flexure
71.7	542	454	454	305	305	1842	1473	2401	0.0258	0.028	6.04	0.36	Flexure
71.8	542	454	454	305	305	1842	1473	3340	0.0258	0.028	6.04	0.5	Flexure
71.9	463	454	454	305	305	1842	1473	3344	0.0258	0.051	6.04	0.5	Flexure
101.8	463	454	454	305	305	1842	1473	4261	0.0258	0.04	6.04	0.5	Flexure
101.9	463	454	454	305	305	1842	1473	4360	0.0258	0.067	6.04	0.46	Flexure
102	542	454	454	305	305	1842	1473	4270	0.0258	0.027	6.04	0.45	Flexure
102.2	463	454	454	305	305	1842	1473	4468	0.0258	0.043	6.04	0.47	Flexure
34	570	455.6	455.6	350	350	1645	1645	1782	0.0195	0.01	4.7	0.428	Flexure
34	570	455.6	455.6	350	350	1645	1645	1782	0.0195	0.02	4.7	0.428	Flexure
34	570	455.6	455.6	350	350	1645	1645	831	0.0195	0.02	4.7	0.2	Flexure
34	570	455.6	455.6	350	350	1645	1645	1923	0.0293	0.013	4.7	0.462	Flexure
34	570	455.6	455.6	350	350	1645	1645	1923	0.0293	0.027	4.7	0.462	Flexure
34	570	477.8	477.8	350	350	1645	1645	1900	0.0229	0.027	4.7	0.456	Flexure
34	580	455.6	455.6	350	350	1645	1645	1923	0.0293	0.013	4.7	0.462	Flexure
34	580	455.6	455.6	350	350	1645	1645	961	0.0293	0.013	4.7	0.231	Flexure
34	580	427.8	427.8	350	350	1645	1645	1923	0.0328	0.013	4.7	0.462	Flexure
34	570	427.8	427.8	350	350	1645	1645	1923	0.0328	0.027	4.7	0.462	Flexure
69.6	406.8	586.1	586.1	203	203	610	610	142	0.0193	0.01	3	0.05	Flexure
69.6	406.8	586.1	586.1	203	203	610	610	142	0.0193	0.01	3	0.055	Flexure
67.8	513.7	572.3	572.3	203	203	610	610	285	0.0193	0.01	3	0.102	Flexure
67.8	514.7	573.3	573.3	203	203	610	610	285	0.0193	0.01	3	0.102	Flexure
65.5	513.7	572.3	572.3	203	203	610	610	569	0.0193	0.01	3	0.211	Flexure
65.5	514.7	573.3	573.3	203	203	610	610	569	0.0193	0.01	3	0.211	Flexure
37.9	513.7	572.3	572.3	203	203	610	610	0	0.0193	0.01	3	0	Flexure
37.9	514.7	573.3	573.3	203	203	610	610	0	0.0193	0.01	3	0	Flexure
48.3	406.8	586.1	586.1	203	203	610	610	285	0.0193	0.01	3	0.143	Flexure
48.3	407.8	587.1	587.1	203	203	610	610	285	0.0193	0.01	3	0.143	Flexure
38.1	513.7	572.3	572.3	203	203	610	610	569	0.0193	0.01	3	0.362	Flexure
38.1	514.7	573.3	573.3	203	203	610	610	569	0.0193	0.01	3	0.362	Flexure
24.9	459.5	497	497	400	400	1400	1400	450	0.0214	0	3.5	0.113	Flexure
26.7	459.5	497	497	400	400	1400	1400	675	0.0214	0	3.5	0.158	Flexure
26.1	459.5	497	497	400	400	1400	1400	900	0.0214	0	3.5	0.216	Flexure
25.3	459.5	497	497	400	400	1400	1400	450	0.0214	0	3.5	0.111	Flexure
27.1	459.5	497	497	400	400	1400	1400	675	0.0214	0	3.5	0.156	Flexure
26.8	459.5	497	497	400	400	1400	1400	900	0.0214	0	3.5	0.21	Flexure
26.4	459.5	497	497	400	400	1400	1400	450	0.0214	0	3.5	0.107	Flexure
27.5	459.5	497	497	400	400	1400	1400	675	0.0214	0	3.5	0.154	Flexure
26.9	459.5	497	497	400	400	1400	1400	900	0.0214	0	3.5	0.209	Flexure
21.9	400	434	434	914.4	457.2	1219.2	1219.2	0	0.0188	0	2.67	0	Shear
16	400	434	434	457.2	914.4	1219.2	1219.2	0	0.0188	0	1.33	0	Flexure
102.7	793	517.1	517.1	152.4	152.4	596.9	596.9	0	0.0245	0	3.92	0	Flexure
86.3	793	517.1	517.1	152.4	152.4	593.9	596.9	401	0.0245	0	3.92	0.2	Flexure
87.5	793	455.1	455.1	152.4	152.4	596.9	596.9	0	0.0245	0	3.92	0	Flexure
83.4	793	455.1	455.1	152.4	152.4	596.9	596.9	194	0.0245	0	3.92	0.1	Flexure
90	793	455.1	455.1	152.4	152.4	596.9	596.9	418	0.0245	0	3.92	0.2	Flexure
67.5	1262	475.8	475.8	152.4	152.4	596.9	596.9	0	0.0245	0	3.92	0	Flexure
74.6	1262	475.8	475.8	152.4	152.4	596.9	596.9	173	0.0245	0	3.92	0.1	Flexure
81.8	1262	475.8	475.8	152.4	152.4	596.9	596.9	380	0.0245	0	3.92	0.2	Flexure
75.8	1262	475.8	475.8	152.4	152.4	596.9	596.9	352	0.0245	0	3.92	0.2	Flexure
87	1262	475.8	475.8	152.4	152.4	596.9	596.9	404	0.0245	0	3.92	0.2	Flexure
71.2	1262	475.8	475.8	152.4	152.4	596.9	596.9	331	0.0245	0	3.92	0.2	Flexure
21.1	476	434.4	434.4	457.2	457.2	1473.2	1473.2	667	0.0247	0.002	3.22	0.151	Flexure-Shear
21.1	476	434.4	434.4	457.2	457.2	1473.2	1473.2	2669	0.0247	0.002	3.22	0.605	Flexure-Shear
21.8	476	434.4	434.4	457.2	457.2	1473.2	1473.2	667	0.0247	0.002	3.22	0.146	Flexure-Shear
92.4	391	451	494	305	305	2000	2000	1200	0.0215	0.002	6.56	0.14	Flexure
93.3	391	430	494	305	305	2000	2000	2400	0.0215	0.002	6.56	0.277	Flexure
98.2	418	451	467	305	305	2000	2000	3600	0.0215	0.002	6.56	0.394	Flexure
94.8	391	451	494	305	305	2000	2000	1200	0.0215	0.002	6.56	0.136	Flexure
97.7	391	451	494	305	305	2000	2000	2400	0.0215	0.002	6.56	0.264	Flexure
104.3	418	451	467	305	305	2000	2000	3600	0.0215	0.002	6.56	0.371	Flexure
78.7	438	446	499	305	305	2000	2000	2900	0.0215	0.002	6.56	0.396	Flexure
109.2	438	446	499	305	305	2000	2000	4200	0.0215	0.002	6.56	0.413	Flexure
109.5	825	446	499	305	305	2000	2000	4200	0.0215	0.002	6.56	0.412	Flexure
104.2	825	446	499	305	305	2000	2000	3600	0.0215	0.002	6.56	0.371	Flexure
104.5	744	446	533	305	305	2000	2000	5150	0.0215	0.002	6.56	0.53	Flexure
109.4	492	446	533	305	305	2000	2000	5150	0.0215	0.002	6.56	0.506	Flexure
33.7	410.9	453	453	152.4	304.8	685.8	685.8	133	0.0245	0.006	2.25	0.085	Flexure
33.7	410.9	453	453	152.4	304.8	685.8	685.8	133	0.0245	0.006	2.25	0.085	Flexure
32.1	410.9	453	453	152.4	304.8	685.8	685.8	133	0.0245	0	2.25	0.089	Flexure
32.1	410.9	453	453	152.4	304.8	685.8	685.8	133	0.0245	0	2.25	0.089	Flexure
29.9	410.9	453	453	152.4	304.8	685.8	685.8	133	0.0245	0	2.25	0.096	Flexure
29.9	410.9	453	453	152.4	304.8	685.8	685.8	133	0.0245	0	2.25	0.096	Flexure
27.4	410.9	453	453	152.4	304.8	685.8	685.8	133	0.0245	0	2.25	0.104	Flexure
27.4	410.9	453	453	152.4	304.8	685.8	685.8	133	0.0245	0	2.25	0.104	Flexure
27.4	410.9	453	453	152.4	304.8	685.8	685.8	267	0.0245	0	2.25	0.21	Flexure
27.4	410.9	453	453	152.4	304.8	685.8	685.8	267	0.0245	0	2.25	0.21	Flexure
36.4	410.9	453	453	152.4	304.8	685.8	685.8	267	0.0245	0	2.25	0.158	Flexure
36.4	410.9	453	453	152.4	304.8	685.8	685.8	267	0.0245	0	2.25	0.158	Flexure
34.9	410.9	453	453	152.4	304.8	685.8	685.8	133	0.0245	0	2.25	0.082	Flexure
34.9	410.9	453	453	152.4	304.8	685.8	685.8	133	0.0245	0	2.25	0.082	Flexure
36.5	410.9	453	453	152.4	304.8	685.8	685.8	133	0.0245	0	2.25	0.078	Flexure
36.5	410.9	453	453	152.4	304.8	685.8	685.8	133	0.0245	0	2.25	0.078	Flexure
37.6	485	461	461	250	250	625	625	705	0.0243	0	2.5	0.3	Flexure
37.6	485	461	461	250	250	625	625	1410	0.0243	0	2.5	0.6	Flexure
39.2	524	388	388	600	600	1200	1200	8000	0.0169	0	2	0.567	Flexure
39.2	524	388	388	600	600	1200	1200	8000	0.0169	0	2	0.567	Flexure
32.2	524	388	388	560	560	1200	1200	6000	0.0194	0	2.14	0.594	Flexure
35.9	368	363	363	400	400	1245	1245	157	0.0158	0	3.11	0.027	Flexure
35.7	368	363	363	400	400	1245	1245	157	0.0158	0	3.11	0.027	Flexure
34.3	368	363	363	400	400	1245	1245	157	0.0158	0	3.11	0.029	Flexure
33.2	368	363	363	400	400	1245	1245	157	0.0158	0	3.11	0.03	Flexure
36.8	368	363	363	400	400	1245	1245	157	0.0158	0	3.11	0.027	Flexure
35.9	368	363	363	400	400	1245	1245	157	0.0158	0	3.11	0.027	Flexure
